RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
02-01: Mackenzie and Selwyn Mtns,1235,68%,100%,10%,100%,--,100%,--,--,--,100%
02-02: S Coast Ranges,7387,--,100%,100%,100%,--,100%,--,--,100%,96%
02-03: N Rocky Mtns,5064,--,100%,100%,100%,--,100%,--,--,100%,98%
02-04: Cascade Ra and Sa Nevada,3202,--,100%,100%,100%,--,100%,--,--,100%,99%
02-05: S Rocky Mtns,1967,--,100%,100%,100%,--,100%,--,--,100%,100%
